LANG,complexityoflanguages,RSAcostoflanguages,new_col
lang1754gen1mutoff26gen2mutoff2gen5mutoff0gen6rcoff687,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff26gen3mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff26gen3mutoff0gen12rcoff193,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff26gen3mutoff0gen12rcoff193gen13rcoff175,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff26gen4rcoff41,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff34,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff4,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff0gen3mutoff2,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff0gen4rcoff505,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff0gen4rcoff505gen6rcoff828,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff5,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff5gen3rcoff99,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff5gen6rcoff684,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff6,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff6gen4mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff6gen4mutoff0gen12rcoff188,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff6gen4mutoff0gen8rcoff241,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff6gen4mutoff0gen8rcoff241gen10rcoff241,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff6gen4rcoff62,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff6gen5mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff6gen5mutoff0gen6rcoff195,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff6gen5mutoff0gen6rcoff35,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff8gen7rcoff624,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff9,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff9gen3mutoff2,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff9gen3mutoff2gen4rcoff177,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff9gen3mutoff2gen5mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff9gen3mutoff2gen5mutoff0gen11rcoff159,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff9gen3mutoff2gen5mutoff0gen11rcoff159gen15rcoff14,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen2mutoff9gen3mutoff2gen5mutoff0gen6rcoff365,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff45gen3mutoff1,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff4gen2mutoff5,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff4gen2mutoff5gen4mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff4gen4mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff4gen4mutoff0gen8rcoff139,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff4gen4rcoff145,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff4gen4rcoff145gen6rcoff357,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff4gen4rcoff145gen6rcoff357gen7rcoff117,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff4gen4rcoff145gen6rcoff357gen7rcoff122,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff4gen4rcoff145gen9rcoff27,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff4gen5mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff52,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff52gen2mutoff6,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff52gen2mutoff6gen10rcoff153,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff52gen2mutoff6gen14rcoff89,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff52gen3mutoff1,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff52gen3mutoff1gen6rcoff381,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff52gen3mutoff1gen9rcoff313,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff52gen4mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff6,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff6gen2mutoff3,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff6gen2mutoff3gen7rcoff161,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff6gen3mutoff2,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff6gen3mutoff2gen6rcoff171,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff6gen6rcoff65,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff6gen8rcoff247,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff6gen8rcoff247gen15rcoff75,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff76,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff76gen2mutoff6,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff76gen2mutoff6gen4rcoff160,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff76gen2mutoff6gen4rcoff160gen6rcoff274,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff76gen2mutoff6gen5mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff76gen2mutoff6gen5mutoff0gen9rcoff263,1,4.026879252055598,"(4.026879252055598, 1)"
