"LANG","complexityoflanguages","costoflanguages","RSAcostoflanguages","type"
"fl122",15,1.79411306650055,1.48884357388744,"Haspel-ok"
"fl1220",14,2.03605514316013,1.77123169273393,"Haspel-ok"
"fl1221",3,3.52941176470588,2.9059149537255,"Haspel-ok"
"fl1222",8,2.41915161696766,2.10967722675288,"Haspel-ok"
"fl1223",8,3.39022954679223,2.44807664656003,"Haspel-ok"
"fl1224",21,2.59377673706489,2.00869380484762,"Haspel-ok"
"fl1225",12,1.80338134001252,1.49681973373256,"Haspel-ok"
"fl1226",10,2.75334608030593,2.36536291927683,"Haspel-ok"
"fl1227",18,2.85761534645279,2.1604699527489,"Haspel-ok"
"fl1228",2,4.70588235294118,3.64584109017798,"Haspel-ok"
"fl1229",2,5.81818181818182,4.55250905328505,"Haspel-ok"
"fl123",19,2.85242654341367,2.3746327331515,"Haspel-ok"
"fl1230",5,3.20534223706177,2.02235611939163,"Haspel-ok"
"fl1231",14,1.75824175824176,1.49558497597058,"Haspel-ok"
"fl1232",6,4.23218221895665,3.08211571883385,"Haspel-ok"
"fl1233",13,2.37154150197629,1.8283813377133,"Haspel-ok"
"fl1234",7,3.58543417366947,3.19896382208354,"Haspel-ok"
"fl1235",9,3.35078534031414,2.14790994039985,"Haspel-ok"
"fl1236",3,7.05882352941177,5.17602283539486,"Haspel-ok"
"fl1237",9,2.27848101265823,1.91510078238098,"Haspel-ok"
"fl1238",7,3.49726775956284,3.17236721501279,"Haspel-ok"
"fl1239",10,2.11040547142159,1.72607605575618,"Haspel-ok"
"fl124",7,3.90243902439025,2.11113284905927,"Haspel-ok"
"fl1240",13,2.83255470863044,2.02365977227312,"Haspel-ok"
"fl1241",12,2.43294614572334,2.07848122530558,"Haspel-ok"
"fl1242",3,5.37313432835821,4.10282579575174,"Haspel-ok"
"fl1243",11,1.97802197802198,1.69407336132344,"Haspel-ok"
"fl1244",16,3.21129901505297,2.34743116491352,"Haspel-ok"
"fl1245",4,3.3922261484099,3.35200493522517,"Haspel-ok"
"fl1246",7,3.52941176470588,3.07079630023063,"Haspel-ok"
"fl1247",11,3.82190962776193,2.90016566333953,"Haspel-ok"
"fl1248",5,9.11392405063291,8.50796499887817,"Haspel-ok"
"fl1249",9,3.10094212651413,2.49250644122044,"Haspel-ok"
"fl125",2,4.36363636363637,3.70665044227079,"Haspel-ok"
"fl1250",10,3.6875800256082,3.04823475840329,"Haspel-ok"
"fl1251",8,5.07042253521127,3.56581745999896,"Haspel-ok"
"fl1252",5,3.28018223234624,2.83056186359974,"Haspel-ok"
"fl1253",2,12.3076923076923,12.3076923076923,"Haspel-ok"
"fl1254",2,5.20325203252033,4.00225963168004,"Haspel-ok"
"fl1255",10,2.17687074829932,1.85430690527566,"Haspel-ok"
"fl1256",3,4.05633802816902,3.72793104202674,"Haspel-ok"
"fl1257",13,2.59039395574744,2.01058086239774,"Haspel-ok"
"fl1258",14,3.00678614929529,2.54125945617502,"Haspel-ok"
"fl1259",2,4.70588235294118,3.64584109017798,"Haspel-ok"
"fl126",14,2.79227599579866,2.12477788450103,"Haspel-ok"
"fl1260",8,2.89301858362632,2.50248982334555,"Haspel-ok"
"fl1261",3,5.54913294797688,4.59165053912082,"Haspel-ok"
"fl1262",10,3.1236442516269,2.48022649861243,"Haspel-ok"
"fl1263",10,2.87640449438202,2.01942755081153,"Haspel-ok"
"fl1264",7,3.07528029898559,2.84538370121467,"Haspel-ok"
"fl1265",2,5.20325203252033,4.00225963168004,"Haspel-ok"
"fl1266",12,3.60638630908901,2.98918530821966,"Haspel-ok"
"fl1267",9,2.67409470752089,1.83938721792574,"Haspel-ok"
"fl1268",15,2.53320432755739,1.92336942039626,"Haspel-ok"
"fl1269",9,2.72727272727273,2.14837276080921,"Haspel-ok"
"fl127",16,2.58992805755396,1.92493602628228,"Haspel-ok"
"fl1270",8,3.3922261484099,3.35200493522517,"Haspel-ok"
"fl1271",3,4.11575562700965,3.0211169912141,"Haspel-ok"
"fl1272",19,2.42285560453612,1.93018772659152,"Haspel-ok"
"fl1273",6,2.90030211480363,2.08711208288817,"Haspel-ok"
"fl1274",8,2.36394976606747,1.67089075296409,"Haspel-ok"
"fl1275",19,2.33766233766234,1.91929595000546,"Haspel-ok"
