"LANG","syn_index","cov_index","type"
"fl1344",7,6,"artificial"
"fl1345",0,3,"artificial"
"fl1346",2,6,"artificial"
"fl1347",0,2,"artificial"
"fl1348",6,6,"artificial"
"fl1349",10,6,"artificial"
"fl135",17,6,"artificial"
"fl1350",21,6,"artificial"
"fl1351",0,6,"artificial"
"fl1352",15,6,"artificial"
"fl1353",10,5,"artificial"
"fl1354",0,2,"artificial"
"fl1355",12,6,"artificial"
"fl1356",0,3,"artificial"
"fl1357",0,4,"artificial"
"fl1358",0,2,"artificial"
"fl1359",4,6,"artificial"
"fl136",1,3,"artificial"
"fl1360",14,6,"artificial"
"fl1361",2,4,"artificial"
"fl1362",2,5,"artificial"
"fl1363",1,5,"artificial"
"fl1364",2,4,"artificial"
"fl1365",3,4,"artificial"
"fl1366",16,6,"artificial"
"fl1367",6,6,"artificial"
"fl1368",0,1,"artificial"
"fl1369",1,6,"artificial"
"fl137",1,4,"artificial"
"fl1370",4,5,"artificial"
"fl1371",13,5,"artificial"
"fl1372",14,6,"artificial"
"fl1373",1,3,"artificial"
"fl1374",17,6,"artificial"
"fl1375",15,6,"artificial"
"fl1376",17,6,"artificial"
"fl1377",0,2,"artificial"
"fl1378",6,6,"artificial"
"fl1379",17,6,"artificial"
"fl138",0,1,"artificial"
"fl1380",16,6,"artificial"
"fl1381",1,4,"artificial"
"fl1382",14,6,"artificial"
"fl1383",1,5,"artificial"
"fl1384",12,6,"artificial"
"fl1385",12,6,"artificial"
"fl1386",0,2,"artificial"
"fl1387",11,6,"artificial"
"fl1388",11,6,"artificial"
"fl1389",3,5,"artificial"
"fl139",4,4,"artificial"
"fl1390",10,5,"artificial"
"fl1391",3,5,"artificial"
"fl1392",20,6,"artificial"
"fl1393",2,5,"artificial"
